"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-21T15:00:00.000Z","10.28","10.28","10.28","10.28","-0.29","-0.44","0"
"2024-04-22T15:00:00.000Z","10.28","10.28","10.21","10.21","-0.58","-0.73","0"
"2024-04-23T15:00:00.000Z","10.32","10.32","10.32","10.32","1.00","0.85","0"
"2024-04-24T15:00:00.000Z","10.68","10.68","10.46","10.46","1.34","1.20","0"
"2024-04-25T15:00:00.000Z","10.38","10.38","10.35","10.37","-0.79","-0.94","0"
"2024-04-28T15:00:00.000Z","10.09","10.21","10.07","10.07","-2.92","-3.06","0"
"2024-04-29T15:00:00.000Z","10.13","10.17","10.13","10.15","0.79","0.65","0"
"2024-05-01T15:00:00.000Z","10.42","10.42","10.38","10.38","2.31","2.16","0"
"2024-05-02T15:00:00.000Z","10.08","10.12","10.07","10.07","-3.03","-3.18","0"
"2024-05-05T15:00:00.000Z","10.37","10.39","10.37","10.39","3.16","3.02","0"
"2024-05-06T15:00:00.000Z","10.13","10.13","10.11","10.13","-2.49","-2.64","0"
"2024-05-07T15:00:00.000Z","10.12","10.12","10.11","10.11","-0.25","-0.39","0"
"2024-05-08T15:00:00.000Z","10.44","10.44","10.43","10.43","3.18","3.03","0"
"2024-05-09T15:00:00.000Z","10.42","10.45","10.42","10.45","0.23","0.08","0"
"2024-05-12T15:00:00.000Z","10.21","10.26","10.21","10.26","-1.87","-2.02","0"
"2024-05-13T15:00:00.000Z","10.27","10.28","10.27","10.28","0.24","0.10","0"
"2024-05-14T15:00:00.000Z","10.29","10.29","10.29","10.29","0.10","-0.05","0"
"2024-05-15T15:00:00.000Z","10.29","10.29","10.29","10.29","0","-0.15","0"
"2024-05-16T15:00:00.000Z","10.30","10.30","10.30","10.30","0.15","0","0"
"2024-05-19T15:00:00.000Z","10.31","10.31","10.31","10.31","0.10","-0.05","0"
"2024-05-20T15:00:00.000Z","10.29","10.30","10.29","10.29","-0.19","-0.34","0"
"2024-05-21T15:00:00.000Z","10.31","10.31","10.31","10.31","0.19","0.05","0"
"2024-05-22T15:00:00.000Z","10.31","10.31","10.31","10.31","-0.05","-0.20","0"
"2024-05-23T15:00:00.000Z","10.31","10.31","10.31","10.31","0","-0.15","0"
"2024-05-26T15:00:00.000Z","10.32","10.32","10.29","10.29","-0.15","-0.29","0"
"2024-05-27T15:00:00.000Z","10.27","10.28","10.27","10.28","-0.19","-0.34","0"
"2024-05-28T15:00:00.000Z","10.32","10.32","10.32","10.32","0.44","0.29","0"
"2024-05-30T15:00:00.000Z","10.34","10.34","10.31","10.31","-0.05","-0.20","0"
"2024-06-02T15:00:00.000Z","10.30","10.30","10.30","10.30","-0.10","-0.24","0"
"2024-06-03T15:00:00.000Z","10.28","10.30","10.28","10.30","-0.05","-0.20","0"
"2024-06-05T15:00:00.000Z","10.34","10.34","10.31","10.32","0.24","0.10","0"
"2024-06-06T15:00:00.000Z","10.32","10.32","10.32","10.32","-0.05","-0.20","0"
"2024-06-09T15:00:00.000Z","10.52","10.52","10.52","10.52","1.89","1.74","0"
"2024-06-10T15:00:00.000Z","10.46","10.46","10.46","10.46","-0.57","-0.72","0"
"2024-06-11T15:00:00.000Z","10.47","10.51","10.47","10.51","0.53","0.38","0"
"2024-06-12T15:00:00.000Z","10.53","10.53","10.47","10.47","-0.33","-0.48","0"
"2024-06-13T15:00:00.000Z","10.47","10.48","10.47","10.48","0.10","-0.05","0"
"2024-06-16T15:00:00.000Z","10.51","10.51","10.51","10.51","0.24","0.09","0"
"2024-06-17T15:00:00.000Z","10.54","10.54","10.49","10.49","-0.14","-0.29","0"
"2024-06-18T15:00:00.000Z","10.53","10.57","10.53","10.57","0.71","0.57","0"
"2024-06-19T15:00:00.000Z","10.49","10.49","10.45","10.45","-1.18","-1.33","0"
"2024-06-20T15:00:00.000Z","10.48","10.48","10.45","10.45","0.06","-0.09","0"
"2024-06-23T15:00:00.000Z","10.42","10.45","10.42","10.45","-0.06","-0.20","0"
"2024-06-24T15:00:00.000Z","10.45","10.46","10.45","10.46","0.14","0","0"
"2024-06-25T15:00:00.000Z","10.51","10.51","10.50","10.50","0.38","0.24","0"
"2024-06-26T15:00:00.000Z","10.52","10.53","10.52","10.53","0.29","0.14","0"
"2024-06-27T15:00:00.000Z","10.57","10.57","10.57","10.57","0.43","0.28","0"
"2024-06-30T15:00:00.000Z","10.71","10.71","10.71","10.71","1.32","1.18","0"
"2024-07-01T15:00:00.000Z","10.75","10.77","10.75","10.77","0.47","0.32","0"
"2024-07-02T15:00:00.000Z","10.66","10.66","10.63","10.63","-1.30","-1.45","0"
"2024-07-03T15:00:00.000Z","10.59","10.59","10.59","10.59","-0.38","-0.52","0"
"2024-07-04T15:00:00.000Z","10.56","10.56","10.52","10.52","-0.61","-0.76","0"
